locality,lat,lng,metro_distance_km,it_hub_distance_km,hospital_count,school_count,mall_count,park_count,road_density,amenity_score,connectivity_score
Suraram,17.536095,78.418639,7.3662,10.1599,6,8,1,6,1048,0.4094,2.2513
AS Rao Nagar,17.479869,78.550965,6.8131,17.8644,30,8,19,26,3533,1.6179,7.5897
Kapra,17.484636,78.561009,7.8247,19.0115,24,8,15,32,3152,1.54,6.7712
Amberpet,17.386178,78.511471,2.871,15.1626,71,20,19,67,3083,3.4503,6.623
Nampally,17.392399,78.470148,0.456,11.0651,84,39,20,76,2010,4.269,4.3179
Abids,17.389478,78.477182,0.1254,11.8622,87,27,15,74,1807,3.9571,3.8818
Himayatsagar,17.324562,78.372152,11.3493,13.082,6,3,1,6,180,0.3119,0.3867
Patancheru,17.528609,78.267425,9.2235,12.0027,5,9,4,1,1716,0.3704,3.6864
Isnapur,17.544125,78.197894,16.7404,19.0886,2,2,0,2,686,0.117,1.4737
Toopran,17.842008,78.479894,40.8467,44.4974,9,1,0,0,261,0.1949,0.5607
Sadashivpet,17.632606,77.90277,49.5325,51.6253,2,0,0,0,12,0.039,0.0258
Zaheerabad,17.679403,77.615308,80.2502,82.1004,4,3,0,2,2371,0.1754,5.0934
Tandur,17.254701,77.58583,85.2277,83.5727,13,2,4,0,1828,0.3704,3.927
Vikarabad,17.270285,77.745297,68.7218,66.7869,1,0,0,0,0,0.0195,0.0
Chevella,17.313515,78.136751,29.0679,26.5514,4,0,0,0,442,0.078,0.9495
Ibrahimpatnam,17.196169,78.648189,19.7922,39.7153,3,1,0,1,1822,0.0975,3.9141
Nagaram,17.491011,78.613677,11.5757,24.6299,9,2,3,3,2788,0.3314,5.9893
Dammaiguda,17.499288,78.583719,10.5802,21.7254,8,2,6,7,3662,0.4483,7.8668
Dundigal,17.50621,78.505108,5.6091,14.1318,9,3,2,4,4104,0.3509,8.8163
Quthbullapur,17.496665,78.460645,4.0246,9.4952,21,17,10,4,3571,1.0136,7.6713
Jeedimetla,17.519687,78.446888,6.9237,10.0937,16,20,9,5,1917,0.9747,4.1182
Bahadurpura,17.357067,78.454542,3.6309,12.6379,18,13,1,34,2558,1.2865,5.4952
Santoshnagar,17.363843,78.498442,0.251,15.3783,42,15,9,77,4212,2.7875,9.0483
Karmanghat,17.341006,78.532975,0.4641,19.8285,33,4,11,19,3712,1.306,7.9742
