Locality,BHK,Bathrooms,Area (SqFt),Rent (INR/month),Rent/SqFt,Property Type,Furnishing,City,Source
SRI SAIRAM Towers,3.0,3.0,2200.0,32000.0,14.545454545454545,Apartment,Semi-Furnished,Hyderabad,Real
Adibatla,2.0,2.0,1130.0,18000.0,15.929203539823009,Independent House,Furnished,Hyderabad,Real
Shaikpet,3.0,,1875.0,40000.0,21.333333333333332,Apartment,Semi-Furnished,Hyderabad,Real
Gaghan Pahad,3.0,2.0,1275.0,13000.0,10.196078431372548,Apartment,Semi-Furnished,Hyderabad,Real
Hafeezpet,3.0,2.0,1510.0,22000.0,14.56953642384106,Apartment,Unfurnished,Hyderabad,Real
Krishna Nagar,3.0,3.0,1800.0,30000.0,16.666666666666668,Apartment,Semi-Furnished,Hyderabad,Real
Bachupally,3.0,1.0,1500.0,12000.0,8.0,Apartment,Semi-Furnished,Hyderabad,Real
Adibatla,2.0,2.0,1200.0,12000.0,10.0,Apartment,Semi-Furnished,Hyderabad,Real
Malla Reddy Colony,2.0,1.0,1100.0,10000.0,9.090909090909092,Independent House,Unfurnished,Hyderabad,Real
Mantri Celestia,3.0,1.0,1198.0,36000.0,30.05008347245409,Apartment,Furnished,Hyderabad,Real
Buddha Nagar Colony,2.0,2.0,1500.0,12000.0,8.0,Apartment,Unfurnished,Hyderabad,Real
Mehdipatnam,2.0,1.0,850.0,25000.0,29.41176470588235,Independent House,Furnished,Hyderabad,Real
Mehdipatnam,2.0,1.0,850.0,28000.0,32.94117647058823,Independent House,Furnished,Hyderabad,Real
,2.0,1.0,600.0,15000.0,25.0,Apartment,Unfurnished,Hyderabad,Real
Dr A.S. Rao Nagar,3.0,2.0,1600.0,15000.0,9.375,Apartment,Unfurnished,Hyderabad,Real
Bachupally,2.0,1.0,1300.0,12000.0,9.23076923076923,Apartment,Semi-Furnished,Hyderabad,Real
Marredpally,3.0,3.0,2400.0,30000.0,12.5,Independent House,Furnished,Hyderabad,Real
Boduppal,3.0,2.0,1660.0,18000.0,10.843373493975903,Apartment,Semi-Furnished,Hyderabad,Real
Nizampet,2.0,2.0,1150.0,14000.0,12.173913043478262,Apartment,Unfurnished,Hyderabad,Real
Fort View,3.0,1.0,1620.0,15000.0,9.25925925925926,Independent House,Unfurnished,Hyderabad,Real
Nagole,3.0,,1400.0,18000.0,12.857142857142858,Apartment,Semi-Furnished,Hyderabad,Real
Hakimpet-Hyderabad,2.0,1.0,850.0,30000.0,35.294117647058826,Apartment,Furnished,Hyderabad,Real
Quadri Happy Homes Paradise,3.0,1.0,1375.0,22000.0,16.0,Apartment,Unfurnished,Hyderabad,Real
Gajularamaram,2.0,,1125.0,19000.0,16.88888888888889,Apartment,Furnished,Hyderabad,Real
Ameerpet,3.0,1.0,1675.0,30000.0,17.91044776119403,Apartment,Semi-Furnished,Hyderabad,Real
Rasoolpura,3.0,2.0,1600.0,18000.0,11.25,Apartment,Unfurnished,Hyderabad,Real
KPHB Colony,3.0,,1550.0,23000.0,14.838709677419354,Apartment,Unfurnished,Hyderabad,Real
Narsingi,3.0,1.0,1834.0,42000.0,22.900763358778626,Apartment,Semi-Furnished,Hyderabad,Real
Pocharam,3.0,3.0,2000.0,24000.0,12.0,Apartment,Furnished,Hyderabad,Real
Boduppal,3.0,2.0,1800.0,14000.0,7.777777777777778,Apartment,Unfurnished,Hyderabad,Real
Chandanagar,3.0,2.0,1600.0,16000.0,10.0,Apartment,Unfurnished,Hyderabad,Real
Raghavendra Colony,3.0,2.0,1400.0,25000.0,17.857142857142858,Apartment,Semi-Furnished,Hyderabad,Real
Puppalaguda,3.0,2.0,1400.0,21500.0,15.357142857142858,Apartment,Semi-Furnished,Hyderabad,Real
My Home Avatar,3.0,2.0,1600.0,40000.0,25.0,Apartment,Furnished,Hyderabad,Real
Aliens Fast Track,2.0,2.0,1162.0,30000.0,25.817555938037867,Apartment,Furnished,Hyderabad,Real
KKRs Fountainhead,2.0,3.0,1461.0,23000.0,15.742642026009582,Apartment,Unfurnished,Hyderabad,Real
Pearl Celestial,3.0,3.0,2358.0,35000.0,14.843087362171332,Apartment,Semi-Furnished,Hyderabad,Real
military dairy farm rd,2.0,2.0,1100.0,12000.0,10.909090909090908,Apartment,Semi-Furnished,Hyderabad,Real
Skanda Srinivasam,2.0,1.0,1150.0,15000.0,13.043478260869565,Apartment,Unfurnished,Hyderabad,Real
Green Grace,3.0,,2260.0,50000.0,22.123893805309734,Apartment,Furnished,Hyderabad,Real
Vazhraa Nirmaan Pushpak,2.0,2.0,1205.0,22000.0,18.25726141078838,Apartment,Semi-Furnished,Hyderabad,Real
Papulguda,2.0,2.0,600.0,16000.0,26.666666666666668,Apartment,Unfurnished,Hyderabad,Real
Humayun Nagar,2.0,2.0,1360.0,18000.0,13.235294117647058,Apartment,Semi-Furnished,Hyderabad,Real
Padmarao Nagar,2.0,,1200.0,23000.0,19.166666666666668,Apartment,Furnished,Hyderabad,Real
New Bowenpally,3.0,1.0,1200.0,17000.0,14.166666666666666,Independent House,Semi-Furnished,Hyderabad,Real
Punjagutta,3.0,4.0,1961.0,45000.0,22.947475777664458,Apartment,Semi-Furnished,Hyderabad,Real
