Locality,BHK,Bathrooms,Area (SqFt),Rent (INR/month),Rent/SqFt,Property Type,Furnishing,City,Source
Bhagyalaxmi Nagar,3.0,2.0,1970.0,35000.0,17.88,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1820.0,34000.0,18.59,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2200.0,38000.0,17.2,Villa,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1950.0,33000.0,16.82,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1680.0,33500.0,19.8,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2020.0,38500.0,19.04,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2030.0,37000.0,18.33,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,2000.0,37500.0,18.81,Apartment,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,1.0,1.0,1750.0,34000.0,19.39,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,1.0,1.0,1430.0,28000.0,19.75,Villa,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1790.0,31500.0,17.71,Independent House,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,4.0,3.0,2310.0,42500.0,18.3,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1830.0,35000.0,19.01,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1990.0,37000.0,18.55,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1960.0,35500.0,18.23,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1820.0,35000.0,19.2,Apartment,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2170.0,41500.0,19.1,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,4.0,3.0,2160.0,36000.0,16.65,Independent House,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1950.0,35500.0,18.14,Apartment,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1800.0,34500.0,19.12,Independent House,Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,1920.0,35500.0,18.49,Villa,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2120.0,36500.0,17.13,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2080.0,40500.0,19.51,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,2.0,2.0,1700.0,33000.0,19.43,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,1.0,1.0,1590.0,31500.0,19.81,Apartment,Unfurnished,Hyderabad,Synthetic
Bhagyalaxmi Nagar,3.0,2.0,2060.0,36500.0,17.83,Apartment,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,4.0,3.0,2250.0,27000.0,12.07,Independent House,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,4.0,3.0,2120.0,27000.0,12.82,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2040.0,26000.0,12.73,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2140.0,28500.0,13.36,Independent House,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,1.0,1.0,1660.0,22500.0,13.43,Apartment,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1650.0,23000.0,14.04,Independent House,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1950.0,27000.0,13.73,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,1.0,1.0,1490.0,21500.0,14.57,Apartment,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1640.0,21000.0,12.84,Villa,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2010.0,26500.0,13.23,Villa,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1800.0,29000.0,16.1,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1770.0,27000.0,15.16,Apartment,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2020.0,28000.0,13.85,Independent House,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1690.0,24000.0,14.15,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1750.0,24500.0,14.1,Villa,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,1.0,1.0,1680.0,24500.0,14.57,Villa,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1940.0,27500.0,14.19,Villa,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1790.0,23000.0,12.94,Independent House,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1850.0,26000.0,13.97,Villa,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,1.0,1.0,1620.0,24500.0,15.09,Villa,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1900.0,25000.0,13.04,Independent House,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1990.0,27000.0,13.64,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2070.0,27500.0,13.18,Apartment,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1920.0,25000.0,13.1,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1720.0,23000.0,13.46,Villa,Unfurnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,1900.0,24500.0,12.82,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,3.0,2.0,2160.0,30500.0,14.11,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1690.0,25500.0,14.96,Apartment,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1760.0,25000.0,14.29,Independent House,Furnished,Hyderabad,Synthetic
Bhavyas Akhila Exotica,2.0,2.0,1740.0,24000.0,13.76,Independent House,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1490.0,10000.0,6.83,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,2130.0,20500.0,9.73,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1270.0,12000.0,9.43,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,2060.0,15000.0,7.38,Villa,Furnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,2060.0,17000.0,8.26,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,2620.0,16500.0,6.33,Independent House,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1640.0,13000.0,7.89,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,1.0,1.0,880.0,8000.0,8.87,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,1.0,1.0,1010.0,8000.0,7.97,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1590.0,12500.0,7.72,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,1660.0,11500.0,6.87,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,2070.0,17000.0,8.3,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,1930.0,19000.0,9.75,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1800.0,16000.0,8.9,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1630.0,14000.0,8.74,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal,1.0,1.0,940.0,8000.0,8.65,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,1610.0,11500.0,7.21,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1410.0,11000.0,7.7,Villa,Unfurnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1530.0,13000.0,8.52,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1740.0,14000.0,8.05,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,1240.0,10000.0,8.04,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,2270.0,22500.0,10.0,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,2160.0,16500.0,7.52,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,1590.0,10500.0,6.73,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal,1.0,1.0,1830.0,17000.0,9.18,Villa,Unfurnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,1120.0,8500.0,7.4,Villa,Semi-Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1690.0,16500.0,9.65,Apartment,Furnished,Hyderabad,Synthetic
Boduppal,3.0,2.0,1380.0,12000.0,8.63,Independent House,Semi-Furnished,Hyderabad,Synthetic
Boduppal,2.0,2.0,1310.0,12500.0,9.66,Independent House,Semi-Furnished,Hyderabad,Synthetic
Boduppal,4.0,3.0,1540.0,9000.0,5.93,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1130.0,7500.0,6.73,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1050.0,6000.0,5.51,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1080.0,7500.0,6.8,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,950.0,5500.0,5.56,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,970.0,5500.0,5.64,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1250.0,7000.0,5.5,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1090.0,8000.0,7.29,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,4.0,3.0,1240.0,8000.0,6.3,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1160.0,8500.0,7.52,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1170.0,7000.0,5.92,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1240.0,7000.0,5.47,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,4.0,3.0,1400.0,7500.0,5.5,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,1000.0,5500.0,5.53,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,960.0,6000.0,6.14,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1180.0,8000.0,6.58,Independent House,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,970.0,6500.0,6.64,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1100.0,6000.0,5.54,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1160.0,7500.0,6.32,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1120.0,6500.0,5.96,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,1050.0,7000.0,6.68,Independent House,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,860.0,5000.0,5.96,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1180.0,8500.0,7.38,Villa,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,1090.0,6000.0,5.61,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,700.0,5000.0,5.53,Villa,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1350.0,8000.0,5.96,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,2.0,2.0,1090.0,7000.0,6.48,Villa,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1010.0,5500.0,5.38,Independent House,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,4.0,3.0,1410.0,8000.0,5.85,Apartment,Unfurnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,3.0,2.0,1330.0,6500.0,5.0,Apartment,Furnished,Hyderabad,Synthetic
Boduppal Dwaraka nagar,1.0,1.0,790.0,5500.0,6.85,Apartment,Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1320.0,21000.0,15.79,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,1.0,1.0,1120.0,15500.0,13.98,Apartment,Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1340.0,21000.0,15.82,Independent House,Furnished,Hyderabad,Synthetic
Boiguda,1.0,1.0,990.0,16000.0,15.94,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1110.0,17000.0,15.13,Villa,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1210.0,18000.0,15.03,Apartment,Unfurnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1460.0,21000.0,14.28,Villa,Furnished,Hyderabad,Synthetic
Boiguda,4.0,3.0,1680.0,23500.0,14.06,Apartment,Furnished,Hyderabad,Synthetic
Boiguda,4.0,3.0,1470.0,22000.0,15.02,Independent House,Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1330.0,20000.0,15.08,Villa,Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1530.0,20500.0,13.24,Apartment,Unfurnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1450.0,24000.0,16.41,Independent House,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1470.0,22000.0,14.84,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1350.0,22000.0,16.18,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1250.0,19000.0,15.18,Villa,Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1500.0,25500.0,16.91,Villa,Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1270.0,19000.0,14.9,Independent House,Unfurnished,Hyderabad,Synthetic
Boiguda,1.0,1.0,1040.0,17500.0,16.61,Independent House,Furnished,Hyderabad,Synthetic
Boiguda,4.0,3.0,1820.0,29500.0,16.25,Independent House,Unfurnished,Hyderabad,Synthetic
Boiguda,4.0,3.0,1720.0,25500.0,14.79,Apartment,Unfurnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1230.0,18500.0,15.21,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1440.0,22500.0,15.54,Villa,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1190.0,17000.0,14.08,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1610.0,24000.0,15.06,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,3.0,2.0,1520.0,25000.0,16.6,Apartment,Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1370.0,20000.0,14.73,Independent House,Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1300.0,18500.0,14.14,Independent House,Furnished,Hyderabad,Synthetic
Boiguda,1.0,1.0,1190.0,19000.0,16.01,Apartment,Semi-Furnished,Hyderabad,Synthetic
Boiguda,2.0,2.0,1240.0,20000.0,16.29,Apartment,Unfurnished,Hyderabad,Synthetic
Boiguda,1.0,1.0,1030.0,17000.0,16.57,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1580.0,17500.0,11.13,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1840.0,19000.0,10.2,Independent House,Unfurnished,Hyderabad,Synthetic
Bommarillu Homes,1.0,1.0,1220.0,13000.0,10.77,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1970.0,18000.0,9.19,Apartment,Unfurnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1620.0,16000.0,9.73,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1980.0,19000.0,9.72,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1930.0,16000.0,8.37,Independent House,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1510.0,15500.0,10.31,Apartment,Unfurnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1690.0,16500.0,9.71,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1410.0,13000.0,9.14,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,1.0,1.0,1310.0,13000.0,10.08,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1670.0,18000.0,10.69,Villa,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1890.0,17000.0,8.93,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1980.0,18500.0,9.43,Villa,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1710.0,16000.0,9.28,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1790.0,16500.0,9.17,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,2020.0,16500.0,8.07,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1810.0,19500.0,10.74,Apartment,Unfurnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1710.0,17500.0,10.1,Apartment,Unfurnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1700.0,16500.0,9.76,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1720.0,16500.0,9.65,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1390.0,13500.0,9.63,Villa,Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1850.0,14500.0,7.8,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1570.0,17000.0,10.76,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,4.0,3.0,1910.0,15500.0,8.18,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,3.0,2.0,1490.0,15000.0,9.91,Villa,Semi-Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1460.0,14500.0,10.1,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1680.0,17500.0,10.45,Apartment,Furnished,Hyderabad,Synthetic
Bommarillu Homes,2.0,2.0,1360.0,15500.0,11.41,Villa,Semi-Furnished,Hyderabad,Synthetic
Borabanda,4.0,3.0,1220.0,17000.0,13.97,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1110.0,18000.0,16.09,Independent House,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,780.0,12000.0,15.54,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,1130.0,19000.0,16.87,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,890.0,14000.0,15.67,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,850.0,14000.0,16.6,Independent House,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,990.0,16500.0,16.76,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1090.0,17000.0,15.56,Independent House,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,840.0,13500.0,15.95,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1100.0,17500.0,15.77,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,1.0,1.0,990.0,17000.0,16.98,Apartment,Unfurnished,Hyderabad,Synthetic
Borabanda,4.0,3.0,1410.0,22000.0,15.46,Independent House,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1060.0,16000.0,15.26,Apartment,Unfurnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1210.0,17500.0,14.63,Apartment,Unfurnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,890.0,15000.0,16.85,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1070.0,16500.0,15.19,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1210.0,20000.0,16.38,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,850.0,15500.0,18.22,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,800.0,12500.0,15.57,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,820.0,14000.0,17.04,Independent House,Semi-Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1080.0,17000.0,15.78,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1000.0,16500.0,16.55,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,940.0,15500.0,16.54,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,960.0,15500.0,16.17,Apartment,Unfurnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,920.0,13500.0,14.86,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,1.0,1.0,590.0,9500.0,16.05,Independent House,Unfurnished,Hyderabad,Synthetic
Borabanda,2.0,2.0,900.0,14000.0,15.39,Apartment,Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1250.0,21000.0,16.69,Villa,Semi-Furnished,Hyderabad,Synthetic
Borabanda,4.0,3.0,1110.0,17000.0,15.25,Apartment,Semi-Furnished,Hyderabad,Synthetic
Borabanda,3.0,2.0,1000.0,15500.0,15.63,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2640.0,24000.0,9.0,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1460.0,13500.0,9.32,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1640.0,13500.0,8.37,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1650.0,15500.0,9.34,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1770.0,15500.0,8.89,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1110.0,10500.0,9.34,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2210.0,19000.0,8.52,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1660.0,15500.0,9.3,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1090.0,9500.0,8.79,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1760.0,17000.0,9.59,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,1.0,1.0,1130.0,12000.0,10.53,Independent House,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2450.0,22000.0,8.99,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1230.0,10000.0,8.04,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1210.0,11500.0,9.45,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1670.0,14500.0,8.67,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,1.0,1.0,1230.0,10500.0,8.53,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1760.0,16000.0,9.04,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1570.0,15000.0,9.63,Villa,Furnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2200.0,18500.0,8.49,Independent House,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,2210.0,19000.0,8.68,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1540.0,14500.0,9.41,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2400.0,20000.0,8.4,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,2.0,2.0,1720.0,16000.0,9.34,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,4.0,3.0,2450.0,19000.0,7.85,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,2110.0,19000.0,9.07,Apartment,Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,2250.0,19500.0,8.66,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1640.0,15000.0,9.24,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,3.0,2.0,1520.0,13000.0,8.44,Apartment,Semi-Furnished,Hyderabad,Synthetic
Bowenpally,1.0,1.0,1160.0,12000.0,10.34,Apartment,Unfurnished,Hyderabad,Synthetic
Bowenpally,1.0,1.0,1130.0,11000.0,9.63,Villa,Unfurnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,3.0,2.0,1110.0,17000.0,15.53,Independent House,Semi-Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,2.0,2.0,1110.0,16000.0,14.22,Apartment,Semi-Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,4.0,3.0,1550.0,21500.0,13.95,Apartment,Semi-Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,3.0,2.0,1800.0,27500.0,15.16,Apartment,Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,3.0,2.0,970.0,16500.0,16.76,Apartment,Unfurnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,2.0,2.0,810.0,12000.0,15.06,Independent House,Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,3.0,2.0,1470.0,22000.0,15.13,Apartment,Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,1.0,1.0,970.0,16000.0,16.47,Apartment,Semi-Furnished,Hyderabad,Synthetic
Brindavan Colony-Toli Chowki,3.0,2.0,1230.0,17000.0,13.97,Independent House,Unfurnished,Hyderabad,Synthetic
